"ID";"﻿id";"file_id";"cation";"code";"code_RF"
"24";"27";"https://disk.yandex.ru/d/R7EmrXCLlN6HcQ";"Пуховая куртка Elara (Элара) в бронзовом оттенке с натуральным мехом енота  ||🔸Артикул: 25672/56|🔸Длина: 80 см|🔸Размерный ряд: 40-52|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Elara";"Элара"
"25";"28";"https://disk.yandex.ru/d/UOaD7l6RtuZYhg";"Пуховая куртка Elara (Элара) в оттенке черника с натуральным мехом енота  ||🔸Артикул: 25672/516|🔸Длина: 80 см|🔸Размерный ряд: 40-52|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Elara";"Элара"
"26";"29";"https://disk.yandex.ru/d/2FIwUrCZLfqcfA";"Пуховое пальто Nerina  (Нерина) в шоколадном оттенке с натуральным мехом песца||🔸Артикул: 25603/261-1511|🔸Длина: 110 см|🔸Размерный ряд: 40-52|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Nerina";"Нерина"
"27";"30";"https://disk.yandex.ru/d/PZq5FJq2P1L1Gw";"Пуховое пальто Nerina  (Нерина) в молочном оттенке с натуральным мехом песца||🔸Артикул: 25603/6619-6|🔸Длина: 110 см|🔸Размерный ряд: 40-52|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Nerina";"Нерина"
"28";"31";"https://disk.yandex.ru/d/9OJl9dqyHXgRog";"Пуховое пальто Rowena  (Ровэна) в кофейном оттенке с натуральным мехом енота||🔸Артикул: 25671/2418-22|🔸Длина: 110 см|🔸Размерный ряд: 40-54|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Rowena";"Ровэна"
"29";"32";"https://disk.yandex.ru/d/mOv0UGR2ttXiLA";"Пуховое пальто Rowena  (Ровэна) в оттенке черника с натуральным мехом енота||🔸Артикул: 25671/7000-1090|🔸Длина: 110 см|🔸Размерный ряд: 40-54|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Rowena";"Ровэна"
"30";"33";"https://disk.yandex.ru/d/d41Hpr7wBCT6DA";"Пуховая куртка Cassia (Кассиа) в лавандовом оттенке с мехом кролика Рекс||🔸Артикул: 25-1002/15|🔸Длина: 75 см|🔸Размерный ряд: 40-50|🔸Наполнитель: 90% пух, 10% перо";"Cassia";"Кассиа"
"31";"34";"https://disk.yandex.ru/d/XBNc_N4M2kBCtQ";"Пуховая куртка Cassia (Кассиа) в сливочном оттенке с мехом кролика Рекс||🔸Артикул: 25-1002/13|🔸Длина: 75 см|🔸Размерный ряд: 40-50|🔸Наполнитель: 90% пух, 10% перо";"Cassia";"Кассиа"
"32";"35";"https://disk.yandex.ru/d/GmGYQ1muVvx8wQ";"Пуховое пальто Seraphine (Серафин) в сером оттенке с натуральным мехом песца ||🔸Артикул: 519-1/19|🔸Длина: 70 см|🔸Размерный ряд: 40-50|🔸Наполнитель: 90% пух, 10% перо|🔸СЪЁМНЫЙ мех";"Seraphine";"Серафин"
"33";"36";"https://disk.yandex.ru/d/blFUfG2LHcpuOw";"Пуховое пальто Seraphine (Серафин) в молочном оттенке с натуральным мехом песца ||🔸Артикул: 519-1/2|🔸Длина: 70 см|🔸Размерный ряд: 40-50|🔸Наполнитель: 90% пух, 10% перо|🔸СЪЁМНЫЙ мех";"Seraphine";"Серафин"
"34";"37";"https://disk.yandex.ru/d/quV70eMiEk2Aug";"Пуховое пальто Elva (Эльва) в кофейном цвете с натуральным мехом лисицы ||🔸Артикул: 541/17|🔸Длина: 85 см|🔸Размерный ряд: 42-50|🔸Наполнитель: 90% пух, 10% перо|🔸В составе 45% шерсти|🔸СЪЁМНЫЙ мех";"Elva";"Эльва"
"35";"38";"https://disk.yandex.ru/d/PwRep-rXyeQa5g";"Пуховое пальто Elva  (Эльва) в цвете серый мелланж с натуральным мехом лисицы ||🔸Артикул: 541/4|🔸Длина: 85 см|🔸Размерный ряд: 42-50|🔸Наполнитель: 90% пух, 10% перо|🔸В составе 45% шерсти|🔸СЪЁМНЫЙ мех";"Elva";"Эльва"
"36";"39";"https://disk.yandex.ru/d/d9cpGtyH7bgSdg";"Пуховое пальто Isolde  (Изольда) в молочном оттенке с натуральным мехом песца||🔸Артикул: 530X/2-30|🔸Длина: 80 см|🔸Размерный ряд: 40-50|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Isolde";"Изольда"
"37";"40";"https://disk.yandex.ru/d/SeDCofnamTyeGA";"Пуховая куртка Terra  (Тэрра) в оттенке бургунди с натуральным мехом енота  ||🔸Артикул: 25611/37|🔸Длина: 80 см|🔸Размерный ряд: 40-52|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Terra";"Тэрра"
"38";"41";"https://disk.yandex.ru/d/8g7NJtVsCwouaA";"Пуховая куртка Terra  (Тэрра) в оттенке мокко с натуральным мехом лисицы  ||🔸Артикул: 25611/19|🔸Длина: 80 см|🔸Размерный ряд: 40-52|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Terra";"Тэрра"
"39";"42";"https://disk.yandex.ru/d/AYdN3aEJ9G4qIg";"Пуховая куртка Veda  (Веда) в оттенке шоколад  с натуральным мехом лисицы  ||🔸Артикул: 25678/261-167|🔸Длина: 90 см|🔸Размерный ряд: 40-52|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Veda";"Веда"
"40";"43";"https://disk.yandex.ru/d/mkFI0pTPWNlNvQ";"Пуховая куртка Veda  (Веда) в оттенке хаки  с натуральным мехом лисицы  ||🔸Артикул: 25678/1079|🔸Длина: 90 см|🔸Размерный ряд: 40-52|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Veda";"Веда"
"41";"44";"https://disk.yandex.ru/d/Ql4mS2eqdKBtCQ";"Пуховая куртка Veda  (Веда) в оттенке бронза  с натуральным мехом лисицы  ||🔸Артикул: 25678/89|🔸Длина: 90 см|🔸Размерный ряд: 40-52|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Veda";"Веда"
"42";"45";"https://disk.yandex.ru/d/4CSu0Whf2Ad8cQ";"Пуховая куртка Veda  (Веда) в черном оттенке с натуральным мехом енота||🔸Артикул: 25678/100|🔸Длина: 90 см|🔸Размерный ряд: 40-52|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Veda";"Веда"
"43";"46";"https://disk.yandex.ru/d/oXGtMTlHJUydWA";"Пуховая куртка Estella (Эстелла) в бежевом оттенке оттенке с натуральным мехом енота||🔸Артикул: 2669/69|🔸Длина: 70 см.|🔸Размерный ряд: 38-48|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Estella";"Эстелла"
"44";"47";"https://disk.yandex.ru/d/RSbzwNEcBzSU5A";"Пуховая куртка Estella (Эстелла) в оттенке вишня с натуральным мехом енота||🔸Артикул: 2669/7|🔸Длина: 70 см.|🔸Размерный ряд: 38-48|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Estella";"Эстелла"
"45";"48";"https://disk.yandex.ru/d/z-a_164AjEvv-g";"Пуховая куртка Estella (Эстелла) в оттенке черника с натуральным мехом енота||🔸Артикул: 2669/2|🔸Длина: 70 см.|🔸Размерный ряд: 38-48|🔸Наполнитель: 90% пух, 10% перо|🔸 СЪЁМНЫЙ мех";"Estella";"Эстелла"
"46";"49";"https://disk.yandex.ru/d/nX2_gkO7dffpzA";"Парка Caroline (кэролайн) в молочном цвете, с натуральным мехом песца  ||🔸Артикул: 25625/2|🔸Длина: 65 см.|🔸Размерный ряд: 42-52|🔸Подклад 90% пуха, 10% пера|🔸Полностью СЪЁМНЫЙ мех";"Caroline";"Кэролайн"
"47";"50";"https://disk.yandex.ru/d/RcTVJ7hDAv1HOQ";"Парка Caroline (кэролайн) в цвете хаки, с натуральным мехом песца под Соболь ||🔸Артикул: 25625/21|🔸Длина: 65 см.|🔸Размерный ряд: 42-52|🔸Подклад 90% пуха, 10% пера|🔸Полностью СЪЁМНЫЙ мех";"Caroline";"Кэролайн"
"48";"51";"https://disk.yandex.ru/d/s053AXpSH6gCqQ";"Парка Caroline (кэролайн) в черном цвете, с натуральным мехом песца под Соболь ||🔸Артикул: 25625/24|🔸Длина: 65 см.|🔸Размерный ряд: 42-52|🔸Подклад 90% пуха, 10% пера|🔸Полностью СЪЁМНЫЙ мех";"Caroline";"Кэролайн"
"49";"52";"https://disk.yandex.ru/d/JzEM3LF0wlVBjQ";"Парка Caroline (кэролайн) в цвете шоколад, с натуральным мехом песца под Соболь ||🔸Артикул: 25625/28|🔸Длина: 65 см.|🔸Размерный ряд: 42-52|🔸Подклад 90% пуха, 10% пера|🔸Полностью СЪЁМНЫЙ мех";"Caroline";"Кэролайн"
"50";"53";"https://disk.yandex.ru/d/-F66XD62LyRQZQ";"Парка Cecile (Сесиль) в черном цвете, с натуральным мехом песца под Соболь ||🔸Артикул: K24060-90/HEI|🔸Длина: 90 см.|🔸Размерный ряд: 42-54|🔸Подстёжка: натуральный мех кролика |🔸Полностью СЪЁМНЫЙ мех";"Cecile";"Сесиль"
"51";"54";"https://disk.yandex.ru/d/IYMuv89YINLDZw";"Парка Cecile (Сесиль) в бежевом цвете, с натуральным мехом лисицы||🔸Артикул: K25060-90/35|🔸Длина: 90 см.|🔸Размерный ряд: 42-54|🔸Подстёжка: натуральный мех кролика |🔸Полностью СЪЁМНЫЙ мех";"Cecile";"Сесиль"
"52";"55";"https://disk.yandex.ru/d/khyJAtq2fg1qBg";"Пальто Luma (Лума) молочное ||🔸Натуральный мех лисицы |🔸Полностью съемный мех |🔸Состав: 70% шерсть|🔸Артикул:WZ2528-1/2|🔸Размерный ряд: 44-48|🔸Длина: 90 см";"Luma";"Лума"
"53";"56";"https://disk.yandex.ru/d/NC67jglifgyGFw";"Пальто Luma (Лума) графит ||🔸Натуральный мех лисицы |🔸Полностью съемный мех |🔸Состав: 70% шерсть|🔸Артикул:WZ2528-1/34|🔸Размерный ряд: 42-52|🔸Длина: 90 см";"Luma";"Лума"
"54";"57";"https://disk.yandex.ru/d/9241WKKIrpDKnA";"Парка шерстяная Marlowe (Марлоу) кофейный||🔸Натуральный мех лисицы|🔸Полностью съемный мех |🔸Состав: 48% шерсть|🔸Артикул:528-1/17|🔸Размерный ряд: 42-50|🔸Длина: 70 см";"Marlowe";"Марлоу"
"55";"58";"https://disk.yandex.ru/d/rJJq5yssWY1-NQ";"Пальто Lorraine (Лорейн) молочное ||🔸Натуральный мех лисицы |🔸Полностью съемный мех |🔸Состав: 70% шерсть|🔸Артикул:WZ2533-1/24|🔸Размерный ряд: 42-46|🔸Длина: 125 см";"Lorraine";"Лорейн"
"56";"59";"https://disk.yandex.ru/d/JFbTyVPCVb5pRQ";"Пальто Lorraine (Лорейн) кофейное ||🔸Натуральный мех енота |🔸Полностью съемный мех |🔸Состав: 70% шерсть|🔸Артикул:WZ2533-1/25|🔸Размерный ряд: 44-50|🔸Длина: 125 см";"Lorraine";"Лорейн"
"57";"60";"https://disk.yandex.ru/d/DGLlSgDVFy3YYA";"Парка шерстяная Marlowe (Марлоу) графит||🔸Натуральный мех чернобурой лисицы|🔸Полностью съемный мех |🔸Состав: 48% шерсть|🔸Артикул:528-1/4|🔸Размерный ряд: 40-48|🔸Длина: 70 см";"Marlowe";"Марлоу"
"58";"61";"https://disk.yandex.ru/d/v-MjSZYJwagCew";"Парка шерстяная Abigale (Эбигейл) молочная||🔸Натуральный мех лисицы |🔸Полностью съемный мех |🔸Состав: 45% шерсть|🔸Артикул:515-1/2|🔸Размерный ряд: 40-48|🔸Длина: 85 см";"Abigale";"Эбигейл"
"59";"62";"https://disk.yandex.ru/d/VjAO23PNAHLpQQ";"Пальто Simone (Симона) черный||🔸Натуральный мех датской норки |🔸Полностью съемный мех |🔸Состав: 70% шерсть|🔸Артикул:WZ2526-1/37|🔸Размерный ряд: 48-52|🔸Длина: 125 см";"Simone";"Симона"
"60";"63";"https://disk.yandex.ru/d/T_2iOZQ6FKjjLw";"Парка шерстяная Dorothy ( Дороти) серый меланж||🔸Натуральный мех лисицы|🔸Полностью съемный мех |🔸Состав: 45% шерсть|🔸Артикул:531-1/4|🔸Размерный ряд: 42-50|🔸Длина: 70 см";"Dorothy";"Дороти"
"61";"64";"https://disk.yandex.ru/d/b9bFiy3wvGT6ww";"Парка шерстяная Abigale (Эбигейл) серый||🔸Натуральный мех чернобурой лисицы |🔸Полностью съемный мех |🔸Состав: 45% шерсть|🔸Артикул:515-1/16|🔸Размерный ряд: 42-50|🔸Длина: 85 см";"Abigale";"Эбигейл"
"62";"65";"https://disk.yandex.ru/d/Icp5ku38zH03LQ";"Парка шерстяная Sienna (Сиена) серый||🔸Натуральный мех чернобурой лисицы |🔸Полностью съемный мех |🔸Состав: 45% шерсть|🔸Артикул:517-2/16|🔸Размерный ряд: 40-48|🔸Длина: 75 см";"Sienna";"Сиена"
"63";"66";"https://disk.yandex.ru/d/3Rp-FCZKTsof-w";"Парка шерстяная Sienna (Сиена) песочный||🔸Натуральный мех комбинированной лисицы |🔸Полностью съемный мех |🔸Состав: 45% шерсть|🔸Артикул:517-2/17|🔸Размерный ряд: 42-50|🔸Длина: 75 см";"Sienna";"Сиена"
"64";"67";"https://disk.yandex.ru/d/hPXcaYHRck3_nw";"Парка шерстяная Dorothy ( Дороти) лайм||🔸Натуральный мех енота|🔸Полностью съемный мех |🔸Состав: 45% шерсть|🔸Артикул:531-1/12|🔸Размерный ряд: 40-48|🔸Длина: 70 см";"Dorothy";"Дороти"
"65";"68";"https://disk.yandex.ru/d/ofZ8evxsLnuswA";"Пальто Liora (Лиора) графит ||🔸Натуральный мех енота |🔸Полностью съемный мех |🔸Состав: 70% шерсть|🔸Артикул:WZ2538-1/10|🔸Размерный ряд: 46-50|🔸Длина: 130 см";"Liora";"Лиора"
"66";"69";"https://disk.yandex.ru/d/vUIdVi3mO9lIEg";"Пальто Simone (Симона) шоколад ||🔸Натуральный мех датской норки |🔸Полностью съемный мех |🔸Состав: 70% шерсть|🔸Артикул:WZ2526-1/33|🔸Размерный ряд: 46-50|🔸Длина: 125 см";"Simone";"Симона"
"67";"70";"https://disk.yandex.ru/d/LBCUaeni44UL-g";"Пальто Liora (Лиора) графит ||🔸Натуральный мех енота |🔸Полностью съемный мех |🔸Состав: 70% шерсть|🔸Артикул:WZ2565/027|🔸Размерный ряд: 46-50|🔸Длина: 125 см";"Liora";"Лиора"
"68";"71";"https://disk.yandex.ru/d/alJvZq4HefYqUg";"Пальто Mireille (Мирейль) светло-серый ||🔸Натуральный мех енота |🔸Полностью съемный мех |🔸Состав: 70% шерсть|🔸Артикул:WZ2543-1/8|🔸Размерный ряд: 46-50|🔸Длина: 130 см";"Mireille";"Мирейль"
"69";"72";"https://disk.yandex.ru/d/7XZiJ5oxc3dKsw";"Пальто Liora (Лиора) кофейное ||🔸Натуральный мех лисицы |🔸Полностью съемный мех |🔸Состав: 70% шерсть|🔸Артикул:WZ2565/028|🔸Размерный ряд: 44-48|🔸Длина: 125 см";"Liora";"Лиора"
"70";"73";"https://disk.yandex.ru/d/AQHPPUJJ2DJgLw";"Тренч Manuela (Мануела) в черном оттенке||🔸Состав: 100% хлопок|🔸 Ткань touch peach |🔸Артикул:RTX0341-125/ES-01|🔸Размерный ряд: 42-50|🔸Длина: 125 см";"Manuela";"Мануела"
"71";"74";"https://disk.yandex.ru/d/voR_ginPquxDlQ";"Пальто Amada (Амада) в оттенке щербет||🔸натуральный мех песца, затонированный под баргузинского соболя|🔸В составе 100% кашемир|🔸Артикул: F24111-125/HBK|🔸Размерный ряд: 42-56|🔸Длина: 125 см";"Amada";"Амада"
"72";"75";"https://disk.yandex.ru/d/MT_9xxBPcQuygA";"Куртка-пиджак Dolores (Долорес) в черном цвете||🔸Состав: 100% хлопок|🔸 Ткань touch peach |🔸Артикул:RTX0270/ES-01|🔸Размерный ряд: 42-48|🔸Длина: 65 см";"Dolores";"Долорес"
"73";"76";"https://disk.yandex.ru/d/v8Gc8K5KAFxc-w";"Куртка-пиджак Dolores (Долорес) в бордовом оттенке||🔸Состав: 100% хлопок|🔸 Ткань touch peach |🔸Артикул:RTX0270/ES-127|🔸Размерный ряд: 42-48|🔸Длина: 65 см";"Dolores";"Долорес"
"74";"77";"https://disk.yandex.ru/d/rvCnKeigcSRAzQ";"Парка Vanessa (Ванесса) в сером цвете с эко мехом выполненном под мех чернобурой лисицы ||🔸Артикул: 24069-90/10|🔸Длина: 90 см.|🔸Размерный ряд: 42-52|🔸Подстёжка: эко мех|🔸Полностью СЪЁМНЫЙ мех";"Vanessa";"Ванесса"
"75";"78";"https://disk.yandex.ru/d/VveUD2-ow9-EFg";"Парка April (Эйприл) в сером цвете с эко мехом выполненным под чернобурую лисицу||🔸Артикул: 23030-100/10|🔸Длина: 100 см.|🔸Размерный ряд: 44-52|🔸Подстёжка: эко мех|🔸Полностью СЪЁМНЫЙ мех";"April";"Эйприл"
"76";"79";"https://disk.yandex.ru/d/nUJmy3U06rfUGw";"Парка April (Эйприл) в бежевом цвете с эко мехом выполненным под бенгальскую лисицу||🔸Артикул: 23030-100/35|🔸Длина: 100 см.|🔸Размерный ряд: 44-54|🔸Подстёжка: эко мех|🔸Полностью СЪЁМНЫЙ мех";"April";"Эйприл"
"77";"80";"https://disk.yandex.ru/d/wkCnmol0G0DZNw";"Парка Vanessa (Ванесса) в сером цвете с эко мехом выполненном под мех енота||🔸Артикул: 24069-90/33|🔸Длина: 90 см.|🔸Размерный ряд: 42-54|🔸Подстёжка: эко мех|🔸Полностью СЪЁМНЫЙ мех";"Vanessa";"Ванесса"
"78";"81";"https://disk.yandex.ru/d/r8_YpfBRHgKKIg";"Парка Adelaida (Аделаида) в коричневом оттенке, с натуральным мехом енота||🔸Артикул: K24056-110/036|🔸Длина: 110 см.|🔸Размерный ряд: 42-56|🔸Наполнитель: в рукавах изософт |🔸Подстёжка: натуральный мех енота, целая шубка внутри парки|🔸Полностью СЪЁМНЫЙ мех";"Adelaida";"Аделаида"
"79";"82";"https://disk.yandex.ru/d/qiNJ4j8iSm5GpQ";"Пуховое пальто Posy (Пози) в черном цвете с натуральным мехом енота||🔸Артикул: 2601/HS|🔸Длина: 85 см.|🔸Размерный ряд: 42-50|🔸Наполнитель: 90% гусиный пух, 10 перо|🔸 СЪЁМНЫЙ мех";"Posy";"Пози"
"80";"83";"https://disk.yandex.ru/d/NM2RBH2jLAxyAA";"Пуховое пальто Posy (Пози) в молочном оттенке с натуральным мехом енота||🔸Артикул: 2601/24|🔸Длина: 85 см.|🔸Размерный ряд: 42-50|🔸Наполнитель: 90% гусиный пух, 10 перо|🔸 СЪЁМНЫЙ мех";"Posy";"Пози"
